Name,Model,Functionality,Compatibility
CyberArmG7,Arm,Enhanced strength,Universal
CyberArmG7,Arm,Enhanced strength,Universal
CyberArmG7,Arm,Enhanced strength,Universal
CyberArmG7,Arm,Enhanced strength,Universal
CyberArmP2,Arm,Precision grip,Type A
CyberArmP2,Arm,Precision grip,Type A
CyberArmP2,Arm,Precision grip,Type A
CyberArmP2,Arm,Precision grip,Type A
CyberArmP2,Arm,Precision grip,Type O
CyberArmX10,Arm,Multi-tool integration,Type A
CyberArmX11,Arm,Multi-tool integration,Type B
CyberArmX12,Arm,Multi-tool integration,Type O
CyberArmX13,Arm,Multi-tool integration,Type B
CyberArmX5,Arm,Multi-tool integration,Type B
CyberArmX6,Arm,Multi-tool integration,Type A
CyberArmX7,Arm,Multi-tool integration,Type O
CyberArmX8,Arm,Multi-tool integration,Type B
CyberArmX9,Arm,Multi-tool integration,Type O
CyberBrainN1,Brain,Neural enhancement,Type A
CyberBrainN1,Brain,Neural enhancement,Type A
CyberBrainN1,Brain,Neural enhancement,Type A
CyberBrainN1,Brain,Neural enhancement,Type A
CyberBrainX10,Brain,AI integration,Type B
CyberBrainX11,Brain,AI integration,Type O
CyberBrainX3,Brain,AI integration,Type O
CyberBrainX4,Brain,AI integration,Type A
CyberBrainX5,Brain,AI integration,Type B
CyberBrainX6,Brain,AI integration,Type A
CyberBrainX7,Brain,AI integration,Type O
CyberBrainX8,Brain,AI integration,Type B
CyberBrainX9,Brain,AI integration,Type A
CyberBrainZ2,Brain,Memory boost,Type AB
CyberBrainZ2,Brain,Memory boost,Type AB
CyberBrainZ2,Brain,Memory boost,Type AB
CyberBrainZ2,Brain,Memory boost,Type AB
CyberEarC3,Ear,Enhanced hearing,Type O
CyberEarC3,Ear,Enhanced hearing,Type O
CyberEarC3,Ear,Enhanced hearing,Type O
CyberEarC3,Ear,Enhanced hearing,Type O
CyberEarX5,Ear,Directional hearing,Type AB
CyberEarX5,Ear,Directional hearing,Type AB
CyberEarX5,Ear,Directional hearing,Type AB
CyberEarX5,Ear,Directional hearing,Type AB
CyberEarY10,Ear,Noise cancellation,Type B
CyberEarY2,Ear,Noise cancellation,Type B
